experiment,agent,agent_name,scenario,n_rounds,seed,avg_score,std_score,median_score,max_score,survival_rate,avg_steps,total_kills,avg_kills_per_game,total_suicides,avg_suicides_per_game,total_coins,total_crates,total_invalid
Task1_Navigation,Q-Learning,project_qlearning,coin-heaven,20,101,29.15,15.239012435194086,28.0,49.0,1.0,329.4,0,0.0,0,0.0,583,0,0
Task1_Navigation,DQN,project_dqn,coin-heaven,20,101,37.65,9.408905356097488,39.5,50.0,1.0,371.45,0,0.0,0,0.0,753,0,1
Task2_Crates,Q-Learning,project_qlearning,loot-crate,20,202,0.65,0.9630680142129111,0.0,3.0,1.0,400.0,0,0.0,0,0.0,13,43,0
Task2_Crates,DQN,project_dqn,loot-crate,20,202,0.35,0.792148975887743,0.0,3.0,0.2,104.55,0,0.0,16,0.8,7,64,12
Task4_Tournament,Q-Learning,project_qlearning,classic,30,303,1.1666666666666667,1.881193474602995,0.0,6.0,0.23333333333333334,338.46666666666664,5,0.16666666666666666,12,0.4,10,160,21
Task4_Tournament,DQN,project_dqn,classic,30,303,0.6333333333333333,0.8749603165604457,0.0,3.0,0.0,338.1333333333333,0,0.0,17,0.5666666666666667,19,294,60
Task4_Tournament,RuleBasedBaseline,rule_based_agent,classic,30,303,3.1333333333333333,2.7047283700134392,2.0,12.0,0.4,325.0,7,0.23333333333333334,14,0.4666666666666667,59,897,225
RewardShaping_profile_sparse,Q-Learning,project_qlearning,loot-crate,15,404,1.8666666666666667,1.627540748764494,2.0,6.0,0.4,180.86666666666667,0,0.0,9,0.6,28,131,8
RewardShaping_profile_dense_nav,Q-Learning,project_qlearning,loot-crate,15,404,3.2,3.4679484809706542,2.0,11.0,0.6,253.13333333333333,0,0.0,6,0.4,48,170,4
RewardShaping_profile_combative_survival,Q-Learning,project_qlearning,loot-crate,15,404,2.4,2.1228911104120876,2.0,6.0,0.6,258.4,0,0.0,6,0.4,36,146,6
OFFICIAL TASK 2 — CLASSIC,classic,project_qlearning,0.8333333333333334,0.38586123009300755,0.9333333333333332,0.0,0.06666666666666667,25,294,374.9666666666667
OFFICIAL TASK 2 — CLASSIC,classic,project_dqn,0.2333333333333333,0.09428090415820632,0.6333333333333334,0.0,0.3666666666666667,7,293,263.5
